country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Albania,AL,ALB,8,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,0.127369538,Female,,%,,,,Total
Albania,AL,ALB,8,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,0.109773368,Male,,%,,,,Total
Albania,AL,ALB,8,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,0.118459083,Total,,%,,,,Total
Algeria,DZ,DZA,12,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,0.981235564,Female,,%,,,,Total
Algeria,DZ,DZA,12,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,1.196336627,Male,,%,,,,Total
Algeria,DZ,DZA,12,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,1.091475606,Total,,%,,,,Total
Angola,AO,AGO,24,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,15.52670002,Female,,%,,,,Total
Angola,AO,AGO,24,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,16.15618896,Male,,%,,,,Total
Angola,AO,AGO,24,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,15.83901405,Total,,%,,,,Total
Armenia,AM,ARM,51,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,0.352025092,Female,,%,,,,Total
Armenia,AM,ARM,51,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,0.773475528,Male,,%,,,,Total
Armenia,AM,ARM,51,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,0.576643109,Total,,%,,,,Total
Bangladesh,BD,BGD,50,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,5.942657471,Female,,%,,,,Total
Bangladesh,BD,BGD,50,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,6.145814896,Male,,%,,,,Total
Bangladesh,BD,BGD,50,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,6.044215202,Total,,%,,,,Total
Belize,BZ,BLZ,84,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,2.003176212,Female,,%,,,,Total
Belize,BZ,BLZ,84,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,2.201216698,Male,,%,,,,Total
Belize,BZ,BLZ,84,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2015,2.105062723,Total,,%,,,,Total
Benin,BJ,BEN,204,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,23.30654526,Female,,%,,,,Total
Benin,BJ,BEN,204,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,22.53288269,Male,,%,,,,Total
Benin,BJ,BEN,204,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2017,22.91413307,Total,,%,,,,Total
Burundi,BI,BDI,108,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2016,11.88451195,Female,,%,,,,Total
Burundi,BI,BDI,108,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2016,11.89252949,Male,,%,,,,Total
Burundi,BI,BDI,108,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2016,11.88848686,Total,,%,,,,Total
Cambodia,KH,KHM,116,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,22.55158234,Female,,%,,,,Total
Cambodia,KH,KHM,116,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,22.21595001,Male,,%,,,,Total
Cambodia,KH,KHM,116,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,22.38108444,Total,,%,,,,Total
Cameroon,CM,CMR,120,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2018,14.56145382,Female,,%,,,,Total
Cameroon,CM,CMR,120,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2018,14.12090969,Male,,%,,,,Total
Cameroon,CM,CMR,120,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2018,14.34035587,Total,,%,,,,Total
Chad,TD,TCD,148,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,34.07821655,Female,,%,,,,Total
Chad,TD,TCD,148,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,32.88381195,Male,,%,,,,Total
Chad,TD,TCD,148,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2014,33.46902847,Total,,%,,,,Total
Comoros,KM,COM,174,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,11.9574194,Female,,%,,,,Total
Comoros,KM,COM,174,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,12.62863255,Male,,%,,,,Total
Comoros,KM,COM,174,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,12.29750156,Total,,%,,,,Total
Congo,CG,COG,178,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,16.27013588,Female,,%,,,,Total
Congo,CG,COG,178,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,16.17406464,Male,,%,,,,Total
Congo,CG,COG,178,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2012,16.22227478,Total,,%,,,,Total
Costa Rica,CR,CRI,188,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2018,0.067260772,Female,,%,,,,Total
Costa Rica,CR,CRI,188,Percentage Children suffering exactly three deprivation. Homogeneous moderate standards,2018,0.15384981,Male,,%,,,,Total
